created_at,entry_id,temperatura_ambiente,humedad_ambiente,temperatura_suelo,humedad_suelo,latitude,longitude,elevation,status
2024-10-23T03:00:13+00:00,184,23.4,64,20.75,100,,,,
2024-10-23T03:00:29+00:00,185,23.4,64,20.81,0,,,,
2024-10-23T03:00:46+00:00,186,23.4,64,20.75,33,,,,
2024-10-23T03:01:02+00:00,187,23.4,64,20.75,38,,,,
2024-10-23T03:01:20+00:00,188,23.4,64,20.75,41,,,,
2024-10-23T03:01:36+00:00,189,23.4,64,20.75,100,,,,
2024-10-23T03:01:52+00:00,190,23.4,64,20.81,58,,,,
2024-10-23T03:02:09+00:00,191,23.4,64,20.81,58,,,,
2024-10-23T03:02:25+00:00,192,23.4,64,20.81,52,,,,
2024-10-23T03:02:42+00:00,193,23.4,64,20.75,10,,,,
2024-10-23T03:03:01+00:00,194,23.4,64,21.06,0,,,,
2024-10-23T03:03:39+00:00,195,23.4,63,24.25,0,,,,
2024-10-23T03:03:55+00:00,196,23.4,63,24.69,0,,,,
2024-10-23T03:04:12+00:00,197,23.4,63,21.56,0,,,,
2024-10-23T03:04:28+00:00,198,23.4,63,21.19,100,,,,
2024-10-23T03:04:44+00:00,199,23.4,63,21.12,0,,,,
2024-10-23T03:05:00+00:00,200,23.4,63,21.94,0,,,,
2024-10-23T03:06:06+00:00,201,23.4,64,21.87,0,,,,
2024-10-23T03:06:23+00:00,202,23.4,64,21.75,0,,,,
2024-10-23T03:06:39+00:00,203,23.4,64,21.75,0,,,,
2024-10-23T03:06:57+00:00,204,23.4,64,21.69,0,,,,
2024-10-23T03:07:14+00:00,205,23.4,64,21.56,0,,,,
2024-10-23T03:07:30+00:00,206,23.4,64,21.69,0,,,,
2024-10-23T03:07:46+00:00,207,23.4,63,21.69,0,,,,
2024-10-23T03:08:03+00:00,208,23.4,63,21.56,0,,,,
2024-10-23T03:08:19+00:00,209,23.4,63,21.56,0,,,,
2024-10-23T03:08:35+00:00,210,23.4,63,21.56,0,,,,
2024-10-23T03:08:51+00:00,211,23.4,64,21.62,0,,,,
2024-10-23T21:27:00+00:00,212,23.8,63,22.25,100,,,,
2024-10-23T21:27:16+00:00,213,23.8,65,22.44,100,,,,
2024-10-23T21:27:32+00:00,214,23.8,67,22.62,100,,,,
2024-10-23T21:27:48+00:00,215,23.8,67,22.69,100,,,,
2024-10-23T21:28:05+00:00,216,23.8,66,22.62,100,,,,
2024-10-23T21:28:21+00:00,217,23.8,66,22.69,100,,,,
2024-10-23T21:28:39+00:00,218,23.8,68,22.69,100,,,,
2024-10-23T21:28:55+00:00,219,24.1,69,22.69,91,,,,
2024-10-23T21:29:12+00:00,220,24.1,69,22.31,90,,,,
2024-10-23T21:29:28+00:00,221,24.1,69,22.25,90,,,,
2024-10-23T21:29:44+00:00,222,24.1,69,22.25,91,,,,
2024-10-23T21:30:00+00:00,223,24.1,69,22.19,91,,,,
2024-10-23T21:30:16+00:00,224,24.1,71,22.19,92,,,,
2024-10-23T21:30:32+00:00,225,24.1,71,22.19,92,,,,
2024-10-23T21:30:48+00:00,226,24.1,71,22.13,92,,,,
2024-10-23T21:31:04+00:00,227,24.1,70,22.19,93,,,,
2024-10-23T21:31:20+00:00,228,24.1,69,22.19,93,,,,
2024-10-23T21:31:36+00:00,229,24.1,68,22.13,94,,,,
2024-10-23T21:31:52+00:00,230,24.1,68,22.13,94,,,,
2024-10-23T21:32:08+00:00,231,24.1,69,22.13,95,,,,
2024-10-23T21:32:25+00:00,232,24.1,68,22.13,95,,,,
2024-10-23T21:32:42+00:00,233,24.1,69,22.13,96,,,,
2024-10-23T21:32:58+00:00,234,24.1,68,22.13,96,,,,
2024-10-23T21:33:14+00:00,235,24.1,69,22.13,96,,,,
2024-10-23T21:33:30+00:00,236,24.1,69,22.13,96,,,,
2024-10-23T21:33:46+00:00,237,24.1,69,22.06,97,,,,
2024-10-23T21:34:02+00:00,238,24.1,69,22.13,97,,,,
2024-10-23T21:34:19+00:00,239,24.1,69,22.13,97,,,,
2024-10-23T21:34:35+00:00,240,23.9,69,22.06,97,,,,
2024-10-23T21:34:51+00:00,241,23.8,69,22.13,98,,,,
2024-10-23T21:35:07+00:00,242,23.8,69,22.06,98,,,,
2024-10-23T21:35:23+00:00,243,23.8,70,22.06,98,,,,
2024-10-23T21:35:39+00:00,244,23.8,69,22.06,98,,,,
2024-10-23T21:35:56+00:00,245,23.8,69,22,99,,,,
2024-10-23T21:36:12+00:00,246,23.8,69,22.06,99,,,,
2024-10-23T21:36:28+00:00,247,23.8,69,22.06,99,,,,
2024-10-23T21:36:44+00:00,248,23.8,70,22.06,99,,,,
2024-10-23T21:37:00+00:00,249,23.8,70,22.06,100,,,,
2024-10-23T21:37:16+00:00,250,23.8,69,22,100,,,,
2024-10-23T21:37:32+00:00,251,23.8,69,22,100,,,,
2024-10-23T21:37:48+00:00,252,23.8,69,22,100,,,,
